genre,rate,metascore,votes,user_reviews,critic_reviews,popularity,awards_nominations,Oscar_nominated,Golden_Globes_nominated,BAFTA_nominated,Screen_Actors_Guild_nominated,Critics_Choice_nominated,Directors_Guild_nominated,Producers_Guild_nominated,Art_Directors_Guild_nominated,Writers_Guild_nominated,Costume_Designers_Guild_nominated,Online_Film_Television_Association_nominated,Online_Film_Critics_Society_nominated,People_Choice_nominated,London_Critics_Circle_Film_nominated
Comedy|Drama|War,7.80000019,69,4281,65,48,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Action|Drama|Sci-Fi,7.5,33,267971,1148,145,1688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drama|Romance,7.80000019,77,12821,147,90,128,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Crime|Thriller,7.80000019,74,415669,854,183,667,6,0,0,0,0,1,0,0,1,0,1,1,2,0,0
Comedy|Romance,6.9000001,52,88311,376,120,1770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drama|Romance,7.30000019,64,153911,500,152,2047,20,5,4,8,3,0,0,0,1,1,1,1,0,0,0
Adventure|Family|Fantasy,7.5,64,469660,1579,265,117,25,3,0,8,0,4,0,1,1,0,1,8,0,1,0
Biography|Crime|Drama,7,45,30016,336,75,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drama|History|Romance,6.0999999,42,4512,61,48,489,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Action|Sci-Fi,6.69999981,47,374138,2128,244,1548,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Crime|Drama,7.5999999,73,88225,443,195,3939,22,1,3,1,0,2,0,0,1,1,0,3,6,0,2
Comedy|Drama|Romance,6.69999981,66,180844,573,174,848,10,1,2,4,1,1,0,0,0,1,0,0,0,0,1
Comedy|Romance,6.69999981,42,42097,280,71,1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedy|Fantasy|Romance,6.4000001,50,1467,20,17,546,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Animation|Adventure|Family,8.60000038,94,445337,920,249,494,11,1,0,1,0,1,0,0,0,0,0,4,2,0,1
Adventure|Comedy|Drama,7.69999981,88,94364,386,175,1236,11,1,1,2,0,1,0,0,0,0,0,2,1,0,1
Horror,5.5,30,66992,479,150,2409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drama|Thriller,8.10000038,83,180554,362,157,2742,9,1,1,1,0,0,0,0,0,0,0,2,1,0,1
Action|Adventure|Drama,7.69999981,61,107817,548,136,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action|Adventure|Thriller,6.0999999,56,173432,1186,262,720,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Drama|Sci-Fi|Thriller,8.10000038,71,603429,2123,291,375,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Biography|Drama|Romance,7.30000019,85,21219,132,102,459,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Crime|Drama,7.5,86,32934,510,178,3341,34,5,3,2,3,3,0,0,0,0,0,7,8,0,0
Comedy|Family|Romance,6.19999981,52,98072,306,108,976,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Comedy|Crime|Mystery,7.0999999,48,77973,334,98,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biography|Drama|Sport,6.80000019,65,81145,390,174,3557,6,2,3,0,0,3,0,0,0,0,0,0,0,0,0
Drama|Music|Romance,7.69999981,74,101307,436,151,2802,42,3,2,13,3,2,0,2,1,1,0,5,1,0,9
Comedy|Romance,6.19999981,59,137023,552,159,1326,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0
Drama|Thriller,6.69999981,63,64912,537,150,1632,7,1,1,0,1,1,0,0,0,0,1,1,1,0,0
